
time 01h 57m 35s, episodes 10028, frames 2.4M, run epr 19.30, run loss 6.97
time 01h 58m 52s, episodes 10074, frames 2.5M, run epr 19.08, run loss 6.76

	2.5M frames: saved model

time 02h 00m 47s, episodes 10140, frames 2.6M, run epr 20.17, run loss 6.81
time 02h 01m 58s, episodes 10179, frames 2.6M, run epr 21.00, run loss 6.94
time 02h 03m 19s, episodes 10217, frames 2.6M, run epr 22.75, run loss 7.26
time 02h 04m 38s, episodes 10261, frames 2.7M, run epr 23.93, run loss 7.41
time 02h 05m 43s, episodes 10296, frames 2.7M, run epr 23.75, run loss 7.35
time 02h 07m 43s, episodes 10353, frames 2.8M, run epr 26.18, run loss 7.86
time 02h 09m 05s, episodes 10392, frames 2.8M, run epr 26.69, run loss 7.93
time 02h 10m 23s, episodes 10430, frames 2.9M, run epr 26.50, run loss 7.64
time 02h 11m 30s, episodes 10465, frames 2.9M, run epr 26.95, run loss 7.72
time 02h 12m 46s, episodes 10501, frames 2.9M, run epr 27.37, run loss 7.66
time 02h 14m 22s, episodes 10541, frames 3.0M, run epr 30.93, run loss 8.19
time 02h 15m 33s, episodes 10569, frames 3.0M, run epr 32.19, run loss 8.38
time 02h 16m 59s, episodes 10610, frames 3.1M, run epr 34.67, run loss 8.53
time 02h 18m 59s, episodes 10662, frames 3.1M, run epr 36.06, run loss 8.51
time 02h 20m 57s, episodes 10709, frames 3.2M, run epr 37.85, run loss 8.77
time 02h 22m 50s, episodes 10752, frames 3.3M, run epr 40.44, run loss 9.26
time 02h 24m 09s, episodes 10786, frames 3.3M, run epr 38.81, run loss 8.92
time 02h 25m 31s, episodes 10819, frames 3.3M, run epr 36.57, run loss 8.60
time 02h 26m 46s, episodes 10846, frames 3.4M, run epr 39.63, run loss 8.98
time 02h 28m 19s, episodes 10881, frames 3.4M, run epr 42.19, run loss 9.52
time 02h 29m 28s, episodes 10912, frames 3.5M, run epr 44.86, run loss 9.32

	3.5M frames: saved model

time 02h 31m 11s, episodes 10951, frames 3.5M, run epr 44.41, run loss 9.17
time 02h 32m 14s, episodes 10975, frames 3.6M, run epr 40.96, run loss 8.73
time 02h 33m 39s, episodes 11012, frames 3.6M, run epr 39.79, run loss 8.80
time 02h 34m 48s, episodes 11042, frames 3.6M, run epr 40.52, run loss 8.92
time 02h 36m 23s, episodes 11077, frames 3.7M, run epr 39.70, run loss 8.87
time 02h 37m 48s, episodes 11111, frames 3.7M, run epr 38.52, run loss 8.50
time 02h 38m 56s, episodes 11138, frames 3.8M, run epr 44.20, run loss 9.13
time 02h 40m 17s, episodes 11171, frames 3.8M, run epr 46.99, run loss 9.00
time 02h 41m 20s, episodes 11197, frames 3.8M, run epr 46.07, run loss 9.13
time 02h 42m 33s, episodes 11223, frames 3.9M, run epr 45.86, run loss 9.12
time 02h 43m 49s, episodes 11251, frames 3.9M, run epr 43.60, run loss 8.93
time 02h 45m 18s, episodes 11288, frames 4.0M, run epr 48.44, run loss 9.61

	4.0M frames: saved model


	4.0M frames: saved model

time 02h 46m 38s, episodes 11320, frames 4.0M, run epr 44.14, run loss 8.86
time 02h 48m 36s, episodes 11366, frames 4.1M, run epr 46.71, run loss 9.15
time 02h 49m 38s, episodes 11392, frames 4.1M, run epr 45.26, run loss 9.02
